"STUDENTID","GRADE"
79686,"F"
16792,"A"
92195,"B"
37569,"D"
72878,"C"
66144,"D"
26685,"D"
65254,"D"
30143,"C"
90184,"D"
94732,"A"
15508,"A"
91913,"C"
88540,"F"
70019,"F"
68803,"D"
35553,"D"
94586,"D"
31322,"D"
20335,"C"
55147,"B"
99424,"D"
47276,"A"
86713,"D"
94888,"A"
62417,"C"
99679,"F"
52155,"B"
62423,"C"
54266,"F"
92583,"D"
61824,"C"
35418,"B"
16782,"D"
31900,"D"
43977,"D"
25682,"D"
80070,"D"
37964,"F"
15897,"C"
30146,"F"
33473,"B"
72454,"A"
86144,"B"
26019,"A"
51754,"C"
48527,"F"
34133,"C"
40358,"B"
12638,"D"
89550,"F"
91350,"D"
56888,"B"
51232,"A"
29976,"D"
77799,"D"
80653,"A"
47777,"F"
27865,"D"
32439,"B"
23362,"D"
48416,"D"
14314,"B"
56041,"C"
52944,"F"
46029,"F"
48770,"C"
81126,"B"
47991,"C"
59276,"A"
55524,"B"
79312,"D"
80473,"C"
22420,"F"
88521,"B"
46201,"C"
88370,"B"
31609,"F"
21304,"F"
65266,"A"
63406,"F"
51639,"B"
71576,"F"
60872,"D"
87470,"B"
75696,"D"
67309,"D"
90922,"C"
51402,"F"
63877,"D"
46019,"B"
76841,"F"
91307,"F"
59985,"A"
81598,"B"
31125,"A"
85447,"B"
45412,"B"
84601,"A"
79957,"F"
24432,"B"
90824,"F"
61440,"B"
83596,"A"
36917,"F"
36502,"D"
63209,"A"
12899,"F"
75041,"C"
57269,"F"
95775,"D"
47199,"D"
64153,"D"
44232,"F"
16254,"F"
23715,"D"
46086,"B"
35081,"C"
83443,"B"
89753,"D"
30797,"C"
49716,"B"
52992,"D"
58010,"F"
31036,"C"
10544,"D"
75483,"D"
85762,"A"
96409,"C"
43631,"B"
38231,"A"
97247,"D"
41094,"D"
33772,"A"
65436,"F"
50680,"A"
46516,"C"
80041,"B"
94205,"B"
69824,"C"
46666,"C"
43592,"C"
10288,"D"
57017,"D"
27391,"D"
96929,"A"
49324,"B"
46932,"D"
47565,"F"
94724,"D"
26335,"F"
37244,"C"
68484,"B"
64602,"D"
41073,"D"
44473,"F"
39254,"F"
27852,"F"
68228,"C"
88965,"D"
34890,"C"
98665,"C"
16402,"B"
31784,"D"
98774,"C"
53021,"F"
57706,"F"
22008,"C"
24693,"C"
70445,"C"
91220,"C"
83170,"F"
17602,"B"
88766,"B"
21130,"C"
80096,"D"
66073,"D"
48933,"D"
22119,"B"
71489,"C"
78710,"A"
63046,"D"
16243,"C"
51439,"A"
86090,"F"
26331,"C"
48595,"B"
77659,"B"
46271,"D"
20550,"F"
65239,"F"
90055,"A"
49687,"A"
22997,"F"
57225,"A"
78608,"D"
27277,"A"
82359,"F"
79915,"B"
29059,"D"
11016,"A"
61318,"C"
63073,"F"
16874,"F"
86726,"D"
98084,"C"
97233,"C"
26990,"D"
97428,"B"
88125,"C"
11211,"A"
75942,"A"
32502,"F"
74453,"D"
67849,"F"
26769,"D"
99579,"B"
19846,"D"
60535,"A"
87229,"C"
20855,"D"
14741,"D"
58272,"C"
58931,"C"
82998,"D"
20225,"F"
36269,"C"
61491,"D"
90568,"C"
99229,"B"
49928,"A"
38623,"A"
16821,"C"
15692,"F"
22635,"C"
27742,"F"
52635,"C"
11621,"B"
77397,"D"
50254,"D"
39150,"C"
25028,"C"
78397,"F"
21894,"B"
59443,"F"
62877,"D"
56954,"D"
56131,"D"
47520,"C"
60163,"A"
56445,"F"
96625,"F"
95494,"D"
45438,"F"
58207,"C"
48140,"C"
99684,"B"
73741,"D"
78524,"C"
36367,"B"
90151,"C"
13991,"C"
57536,"A"
28366,"A"
52450,"B"
40545,"F"
39960,"D"
24867,"D"
20526,"D"
73939,"D"
52040,"F"
44894,"B"
29334,"D"
99132,"D"
66067,"B"
60518,"D"
49645,"B"
67880,"C"
53333,"D"
47056,"C"
31890,"A"
12414,"B"
60358,"B"
79091,"C"
92722,"F"
71658,"D"
16108,"C"
56560,"D"
78964,"C"
60235,"D"
92574,"F"
22095,"F"
15328,"B"
87216,"A"
82400,"B"
46140,"F"
69723,"D"
20788,"F"
36341,"B"
83189,"D"
94762,"D"
31770,"A"
18060,"D"
55420,"C"
44920,"D"
46572,"D"
85514,"F"
17012,"F"
71423,"D"
93762,"F"
34166,"C"
45868,"A"
17456,"C"
34633,"D"
23813,"C"
35743,"C"
24946,"A"
64689,"B"
91914,"A"
37931,"D"
52474,"B"
81634,"D"
46748,"A"
76430,"B"
71873,"D"
29889,"A"
76483,"D"
